Date;Open;
27.03.2015;2055.780029;0
30.03.2015;2064.110107;1
31.03.2015;2084.050049;1
01.04.2015;2067.629883;0
02.04.2015;2060.030029;0
06.04.2015;2064.870117;1
07.04.2015;2080.790039;1
08.04.2015;2076.939941;0
09.04.2015;2081.290039;1
10.04.2015;2091.510010;1
13.04.2015;2102.030029;1
14.04.2015;2092.280029;0
15.04.2015;2097.820068;1
16.04.2015;2105.959961;1
17.04.2015;2102.580078;0
20.04.2015;2084.110107;0
21.04.2015;2102.820068;1
22.04.2015;2098.270020;0
23.04.2015;2107.209961;1
24.04.2015;2112.800049;1
27.04.2015;2119.290039;1
28.04.2015;2108.350098;0
29.04.2015;2112.489990;1
30.04.2015;2105.520020;0
01.05.2015;2087.379883;0
04.05.2015;2110.229980;1
05.05.2015;2112.629883;1
06.05.2015;2091.260010;0
07.05.2015;2079.959961;0
08.05.2015;2092.129883;1
11.05.2015;2115.560059;1
12.05.2015;2102.870117;0
13.05.2015;2099.620117;0
14.05.2015;2100.429932;1
15.05.2015;2122.070068;1
18.05.2015;2121.300049;0
19.05.2015;2129.449951;1
20.05.2015;2127.790039;0
21.05.2015;2125.550049;0
22.05.2015;2130.360107;1
26.05.2015;2125.340088;0
27.05.2015;2105.129883;0
28.05.2015;2122.270020;1
29.05.2015;2120.659912;0
01.06.2015;2108.639893;0
02.06.2015;2110.409912;1
03.06.2015;2110.639893;1
04.06.2015;2112.350098;1
05.06.2015;2095.090088;0
08.06.2015;2092.340088;0
09.06.2015;2079.070068;0
10.06.2015;2081.120117;1
11.06.2015;2106.239990;1
12.06.2015;2107.429932;1
15.06.2015;2091.340088;0
16.06.2015;2084.260010;0
17.06.2015;2097.399902;1
18.06.2015;2101.580078;1
19.06.2015;2121.060059;1
22.06.2015;2112.500000;0
23.06.2015;2123.159912;1
24.06.2015;2123.649902;1
25.06.2015;2109.959961;0
26.06.2015;2102.620117;0
29.06.2015;2098.629883;0
30.06.2015;2061.189941;0
01.07.2015;2067.000000;1
02.07.2015;2078.030029;1
06.07.2015;2073.949951;0
07.07.2015;2069.520020;0
08.07.2015;2077.659912;1
09.07.2015;2049.729980;0
10.07.2015;2052.739990;1
13.07.2015;2080.030029;1
14.07.2015;2099.719971;1
15.07.2015;2109.010010;1
16.07.2015;2110.550049;1
17.07.2015;2126.800049;1
20.07.2015;2126.850098;1
21.07.2015;2127.550049;1
22.07.2015;2118.209961;0
23.07.2015;2114.159912;0
24.07.2015;2102.239990;0
27.07.2015;2078.189941;0
28.07.2015;2070.750000;0
29.07.2015;2094.699951;1
30.07.2015;2106.780029;1
31.07.2015;2111.600098;1
03.08.2015;2104.489990;0
04.08.2015;2097.679932;0
05.08.2015;2095.270020;0
06.08.2015;2100.750000;1
07.08.2015;2082.610107;0
10.08.2015;2080.979980;0
11.08.2015;2102.659912;1
12.08.2015;2081.100098;0
13.08.2015;2086.189941;1
14.08.2015;2083.149902;0
17.08.2015;2089.699951;1
18.08.2015;2101.989990;1
19.08.2015;2095.689941;0
20.08.2015;2076.610107;0
21.08.2015;2034.079956;0
24.08.2015;1965.150024;0
25.08.2015;1898.079956;0
26.08.2015;1872.750000;0
27.08.2015;1942.770020;1
28.08.2015;1986.060059;1
31.08.2015;1986.729980;1
01.09.2015;1970.089966;0
02.09.2015;1916.520020;0
03.09.2015;1950.790039;1
04.09.2015;1947.760010;0
08.09.2015;1927.300049;0
09.09.2015;1971.449951;1
10.09.2015;1941.589966;0
11.09.2015;1951.449951;1
14.09.2015;1963.060059;1
15.09.2015;1955.099976;0
16.09.2015;1978.020020;1
17.09.2015;1995.329956;1
18.09.2015;1989.660034;0
21.09.2015;1960.839966;0
22.09.2015;1961.390015;1
23.09.2015;1943.239990;0
24.09.2015;1934.810059;0
25.09.2015;1935.930054;1
28.09.2015;1929.180054;0
29.09.2015;1881.900024;0
30.09.2015;1887.140015;1
01.10.2015;1919.650024;1
02.10.2015;1921.770020;1
05.10.2015;1954.329956;1
06.10.2015;1986.630005;1
07.10.2015;1982.339966;0
08.10.2015;1994.010010;1
09.10.2015;2013.729980;1
12.10.2015;2015.650024;1
13.10.2015;2015.000000;0
14.10.2015;2003.660034;0
15.10.2015;1996.469971;0
16.10.2015;2024.369995;1
19.10.2015;2031.729980;1
20.10.2015;2033.130005;1
21.10.2015;2033.469971;1
22.10.2015;2021.880005;0
23.10.2015;2058.189941;1
26.10.2015;2075.080078;1
27.10.2015;2068.750000;0
28.10.2015;2066.479980;0
29.10.2015;2088.350098;1
30.10.2015;2090.000000;1
02.11.2015;2080.760010;0
03.11.2015;2102.629883;1
04.11.2015;2110.600098;1
05.11.2015;2101.679932;0
06.11.2015;2098.600098;0
09.11.2015;2096.560059;0
10.11.2015;2077.189941;0
11.11.2015;2083.409912;1
12.11.2015;2072.290039;0
13.11.2015;2044.640015;0
16.11.2015;2022.079956;0
17.11.2015;2053.669922;1
18.11.2015;2051.989990;0
19.11.2015;2083.699951;1
20.11.2015;2082.820068;0
23.11.2015;2089.409912;1
24.11.2015;2084.419922;0
25.11.2015;2089.300049;1
27.11.2015;2088.820068;0
30.11.2015;2090.949951;1
01.12.2015;2082.929932;0
02.12.2015;2101.709961;1
03.12.2015;2080.709961;0
04.12.2015;2051.239990;0
07.12.2015;2090.419922;1
08.12.2015;2073.389893;0
09.12.2015;2061.169922;0
10.12.2015;2047.930054;0
11.12.2015;2047.270020;0
14.12.2015;2013.369995;0
15.12.2015;2025.550049;1
16.12.2015;2046.500000;1
17.12.2015;2073.760010;1
18.12.2015;2040.810059;0
21.12.2015;2010.270020;0
22.12.2015;2023.150024;1
23.12.2015;2042.199951;1
24.12.2015;2063.520020;1
28.12.2015;2057.770020;0
29.12.2015;2060.540039;1
30.12.2015;2077.340088;1
31.12.2015;2060.590088;0
04.01.2016;2038.199951;0
05.01.2016;2013.780029;0
06.01.2016;2011.709961;0
07.01.2016;1985.319946;0
08.01.2016;1945.969971;0
11.01.2016;1926.119995;0
12.01.2016;1927.829956;1
13.01.2016;1940.339966;1
14.01.2016;1891.680054;0
15.01.2016;1916.680054;1
19.01.2016;1888.660034;0
20.01.2016;1876.180054;0
21.01.2016;1861.459961;0
22.01.2016;1877.400024;1
25.01.2016;1906.280029;1
26.01.2016;1878.790039;0
27.01.2016;1902.520020;1
28.01.2016;1885.219971;0
29.01.2016;1894.000000;1
01.02.2016;1936.939941;1
02.02.2016;1935.260010;0
03.02.2016;1907.069946;0
04.02.2016;1911.670044;1
05.02.2016;1913.069946;1
08.02.2016;1873.250000;0
09.02.2016;1848.459961;0
10.02.2016;1857.099976;1
11.02.2016;1847.000000;0
12.02.2016;1833.400024;0
16.02.2016;1871.439941;1
17.02.2016;1898.800049;1
18.02.2016;1927.569946;1
19.02.2016;1916.739990;0
22.02.2016;1924.439941;1
23.02.2016;1942.380005;1
24.02.2016;1917.560059;0
25.02.2016;1931.869995;1
26.02.2016;1954.949951;1
29.02.2016;1947.130005;0
01.03.2016;1937.089966;0
02.03.2016;1976.599976;1
03.03.2016;1985.599976;1
04.03.2016;1994.010010;1
07.03.2016;1996.109985;1
08.03.2016;1996.880005;1
09.03.2016;1981.439941;0
10.03.2016;1990.969971;1
11.03.2016;1994.709961;1
14.03.2016;2019.270020;1
15.03.2016;2015.270020;0
16.03.2016;2014.239990;0
17.03.2016;2026.900024;1
18.03.2016;2041.160034;1
21.03.2016;2047.880005;1
22.03.2016;2048.639893;1
23.03.2016;2048.550049;0
24.03.2016;2032.479980;0
28.03.2016;2037.890015;1
29.03.2016;2035.750000;0
30.03.2016;2058.270020;1
31.03.2016;2063.770020;1
01.04.2016;2056.620117;0
04.04.2016;2073.189941;1
05.04.2016;2062.500000;0
06.04.2016;2045.560059;0
07.04.2016;2063.010010;1
08.04.2016;2045.540039;0
11.04.2016;2050.229980;1
12.04.2016;2043.719971;0
13.04.2016;2065.919922;1
14.04.2016;2082.889893;1
15.04.2016;2083.100098;1
18.04.2016;2078.830078;0
19.04.2016;2096.050049;1
20.04.2016;2101.520020;1
21.04.2016;2102.090088;1
22.04.2016;2091.489990;0
25.04.2016;2089.370117;0
26.04.2016;2089.840088;1
27.04.2016;2092.330078;1
28.04.2016;2090.929932;0
29.04.2016;2071.820068;0
02.05.2016;2067.169922;0
03.05.2016;2077.179932;1
04.05.2016;2060.300049;0
05.05.2016;2052.949951;0
06.05.2016;2047.770020;0
09.05.2016;2057.550049;1
10.05.2016;2062.629883;1
11.05.2016;2083.290039;1
12.05.2016;2067.169922;0
13.05.2016;2062.500000;0
16.05.2016;2046.530029;0
17.05.2016;2065.040039;1
18.05.2016;2044.380005;0
19.05.2016;2044.209961;0
20.05.2016;2041.880005;0
23.05.2016;2052.229980;1
24.05.2016;2052.649902;1
25.05.2016;2078.929932;1
26.05.2016;2091.439941;1
27.05.2016;2090.060059;0
31.05.2016;2100.129883;1
01.06.2016;2093.939941;0
02.06.2016;2097.709961;1
03.06.2016;2104.070068;1
06.06.2016;2100.830078;0
07.06.2016;2110.179932;1
08.06.2016;2112.709961;1
09.06.2016;2115.649902;1
10.06.2016;2109.570068;0
13.06.2016;2091.750000;0
14.06.2016;2076.649902;0
15.06.2016;2077.600098;1
16.06.2016;2066.360107;0
17.06.2016;2078.199951;1
20.06.2016;2075.580078;0
21.06.2016;2085.189941;1
22.06.2016;2089.750000;1
23.06.2016;2092.800049;1
24.06.2016;2103.810059;1
27.06.2016;2031.449951;0
28.06.2016;2006.670044;0
29.06.2016;2042.689941;1
30.06.2016;2073.169922;1
01.07.2016;2099.340088;1
05.07.2016;2095.050049;0
06.07.2016;2084.429932;0
07.07.2016;2100.419922;1
08.07.2016;2106.969971;1
11.07.2016;2131.719971;1
12.07.2016;2139.500000;1
13.07.2016;2153.810059;1
14.07.2016;2157.879883;1
15.07.2016;2165.129883;1
18.07.2016;2162.040039;0
19.07.2016;2163.790039;1
20.07.2016;2166.100098;1
21.07.2016;2172.909912;1
22.07.2016;2166.469971;0
25.07.2016;2173.709961;1
26.07.2016;2168.969971;0
27.07.2016;2169.810059;1
28.07.2016;2166.050049;0
29.07.2016;2168.830078;1
01.08.2016;2173.149902;1
02.08.2016;2169.939941;0
03.08.2016;2156.810059;0
04.08.2016;2163.510010;1
05.08.2016;2168.790039;1
08.08.2016;2183.760010;1
09.08.2016;2182.239990;0
10.08.2016;2182.810059;1
11.08.2016;2177.969971;0
12.08.2016;2183.739990;1
15.08.2016;2186.080078;1
16.08.2016;2186.239990;1
17.08.2016;2177.840088;0
18.08.2016;2181.899902;1
19.08.2016;2184.239990;1
22.08.2016;2181.580078;0
23.08.2016;2187.810059;1
24.08.2016;2185.090088;0
25.08.2016;2173.290039;0
26.08.2016;2175.100098;1
29.08.2016;2170.189941;0
30.08.2016;2179.449951;1
31.08.2016;2173.560059;0
01.09.2016;2171.330078;0
02.09.2016;2177.489990;1
06.09.2016;2181.610107;1
07.09.2016;2185.169922;1
08.09.2016;2182.760010;0
09.09.2016;2169.080078;0
12.09.2016;2120.860107;0
13.09.2016;2150.469971;1
14.09.2016;2127.860107;0
15.09.2016;2125.360107;0
16.09.2016;2146.479980;1
19.09.2016;2143.989990;0
20.09.2016;2145.939941;1
21.09.2016;2144.580078;0
22.09.2016;2170.939941;1
23.09.2016;2173.290039;1
26.09.2016;2158.540039;0
27.09.2016;2146.040039;0
28.09.2016;2161.850098;1
29.09.2016;2168.899902;1
30.09.2016;2156.510010;0
03.10.2016;2164.330078;1
04.10.2016;2163.370117;0
05.10.2016;2155.149902;0
06.10.2016;2158.219971;1
07.10.2016;2164.189941;1
10.10.2016;2160.389893;0
11.10.2016;2161.350098;1
12.10.2016;2137.669922;0
13.10.2016;2130.260010;0
14.10.2016;2139.679932;1
17.10.2016;2132.949951;0
18.10.2016;2138.310059;1
19.10.2016;2140.810059;1
20.10.2016;2142.510010;1
21.10.2016;2139.429932;0
24.10.2016;2148.500000;1
25.10.2016;2149.719971;1
26.10.2016;2136.969971;0
27.10.2016;2144.060059;1
28.10.2016;2132.229980;0
31.10.2016;2129.780029;0
01.11.2016;2128.679932;0
